"filename", "language", "Properties", "XML", "Markdown", "Batch", "comment", "blank", "total"
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_delete.xml", "XML", 0, 25, 0, 0, 0, 2, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_edit.xml", "XML", 0, 130, 0, 0, 1, 16, 147
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_edit_tag.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_view.xml", "XML", 0, 78, 0, 0, 0, 11, 89
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_item_grid.xml", "XML", 0, 66, 0, 0, 0, 10, 76
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_item_linear.xml", "XML", 0, 54, 0, 0, 0, 6, 60
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user.xml", "XML", 0, 299, 0, 0, 6, 39, 344
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_change_name_or_signature.xml", "XML", 0, 25, 0, 0, 0, 2, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_menu_lock.xml", "XML", 0, 37, 0, 0, 0, 3, 40
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_menu_submit_bug.xml", "XML", 0, 24, 0, 0, 0, 3, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_menu_task_tag.xml", "XML", 0, 36, 0, 0, 0, 3, 39
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_show_markdown.xml", "XML", 0, 20, 0, 0, 0, 4, 24
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\nav_side_header.xml", "XML", 0, 77, 0, 0, 0, 7, 84
"e:\proData\andriod_PRO\Todo\app\src\main\res\menu\nav_bottom.xml", "XML", 0, 26, 0, 0, 0, 2, 28
"e:\proData\andriod_PRO\Todo\app\src\main\res\menu\nav_side_menu.xml", "XML", 0, 18, 0, 0, 0, 0, 18
"e:\proData\andriod_PRO\Todo\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 5, 0, 0, 0, 0, 5
"e:\proData\andriod_PRO\Todo\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 5, 0, 0, 0, 0, 5
"e:\proData\andriod_PRO\Todo\app\src\main\res\navigation\nav_graph.xml", "XML", 0, 28, 0, 0, 0, 5, 33
"e:\proData\andriod_PRO\Todo\app\src\main\res\values-night\themes.xml", "XML", 0, 4, 0, 0, 3, 0, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\colors.xml", "XML", 0, 12, 0, 0, 0, 0, 12
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\strings.xml", "XML", 0, 3, 0, 0, 0, 0, 3
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\styles.xml", "XML", 0, 6, 0, 0, 0, 1, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\themes.xml", "XML", 0, 6, 0, 0, 1, 1, 8
"e:\proData\andriod_PRO\Todo\app\src\main\res\xml\backup_rules.xml", "XML", 0, 3, 0, 0, 10, 0, 13
"e:\proData\andriod_PRO\Todo\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 5, 0, 0, 14, 0, 19
"e:\proData\andriod_PRO\Todo\app\src\main\res\xml\file_paths.xml", "XML", 0, 4, 0, 0, 0, 0, 4
"e:\proData\andriod_PRO\Todo\gradle.properties", "Properties", 4, 0, 0, 0, 19, 0, 23
"e:\proData\andriod_PRO\Todo\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 1, 1, 7
"e:\proData\andriod_PRO\Todo\gradlew.bat", "Batch", 0, 0, 0, 39, 29, 22, 90
"Total", "-", 9, 2111, 96, 39, 90, 328, 2673
